,Date,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Bucket
74515,2019-10-04,Mumbai,22.29,50.88,4.72,5.0,0.34,8.89,48.0,Good
30337,2019-10-04,Delhi,40.28,110.28,20.91,5.25,1.04,7.1,155.0,Moderate
50103,2019-10-04,Delhi,47.1,103.13,15.98,14.44,0.74,9.78,119.0,Moderate
9022,2019-10-04,Delhi,43.79,94.48,32.62,14.17,1.04,39.07,107.0,Moderate
36910,2019-10-04,Delhi,42.58,97.65,28.26,11.27,1.17,28.47,123.0,Moderate
15652,2019-10-04,Delhi,45.62,96.78,31.13,2.46,0.2,44.67,118.0,Moderate
52994,2019-10-04,Ahmedabad,49.88,127.47,101.3,120.8,25.05,48.48,512.0,Severe
16534,2019-10-04,Delhi,42.02,97.59,47.26,2.46,2.34,8.43,100.0,Satisfactory
24021,2019-10-04,Delhi,46.36,75.04,21.42,3.9,0.61,36.46,94.0,Satisfactory
40435,2019-10-04,Delhi,43.68,146.35,52.93,16.4,1.42,20.13,114.0,Moderate
79866,2019-10-04,Amritsar,24.0,51.78,10.56,6.6,0.09,15.08,55.0,Satisfactory
74121,2019-10-04,Mumbai,29.58,86.27,32.11,10.1,0.5,12.17,76.0,Satisfactory
76070,2019-10-04,Mumbai,23.19,63.46,20.21,2.71,0.44,21.6,46.0,Good
10780,2019-10-04,Delhi,48.32,93.68,45.27,6.66,1.6,52.98,114.0,Moderate
60646,2019-10-04,Bengaluru,33.43,66.74,42.81,4.0,0.9,81.64,155.0,Moderate
86536,2019-10-04,Hyderabad,24.21,47.99,13.12,1.3,0.33,21.66,56.0,Satisfactory
98499,2019-10-04,Coimbatore,39.31,53.54,7.16,10.27,1.75,34.91,96.0,Satisfactory
52995,2019-10-05,Ahmedabad,57.65,138.99,168.74,153.44,49.58,41.05,614.0,Severe
106950,2019-10-05,Kolkata,23.52,40.18,23.91,3.85,0.42,28.29,55.0,Satisfactory
74516,2019-10-05,Mumbai,25.94,55.84,4.51,5.41,3.99,14.17,157.0,Moderate
75684,2019-10-05,Mumbai,30.08,36.48,26.27,16.31,0.56,12.12,70.0,Satisfactory
81974,2019-10-05,Jaipur,46.58,83.99,44.59,17.72,0.59,37.96,82.0,Satisfactory
68991,2019-10-05,Bengaluru,29.04,72.59,42.24,1.53,1.96,29.39,113.0,Moderate
5626,2019-10-05,Chandigarh,25.9,77.68,4.75,15.09,0.44,17.33,72.0,Satisfactory
25786,2019-10-05,Delhi,32.9,95.44,48.73,7.01,0.83,38.34,107.0,Moderate
72576,2019-10-05,Mumbai,26.51,61.39,22.51,4.9,2.75,10.84,113.0,Moderate
47610,2019-10-05,Delhi,42.4,193.12,80.33,5.36,1.36,41.24,123.0,Moderate
9023,2019-10-05,Delhi,37.92,93.23,41.93,15.7,0.98,40.26,97.0,Satisfactory
73730,2019-10-05,Mumbai,38.76,77.12,14.81,17.52,0.6,17.12,67.0,Satisfactory
94096,2019-10-05,Chennai,18.24,40.58,9.53,9.97,0.75,134.25,177.0,Moderate
76381,2019-10-05,Shillong,19.67,32.09,3.5,5.77,0.29,41.42,49.0,Good
77721,2019-10-05,Brajrajnagar,34.76,90.57,8.36,8.54,2.17,5.14,105.0,Moderate
105222,2019-10-05,Kolkata,15.12,54.96,5.21,4.68,0.45,29.19,65.0,Satisfactory
2644,2019-10-05,Guwahati,39.61,72.7,13.23,14.85,0.65,18.51,70.0,Satisfactory
34993,2019-10-05,Delhi,45.26,105.5,33.7,9.56,1.09,42.28,108.0,Moderate
10781,2019-10-05,Delhi,53.29,105.79,38.22,7.77,1.57,55.02,116.0,Moderate
27697,2019-10-05,Delhi,35.75,95.04,39.48,7.79,1.19,13.04,101.0,Moderate
74122,2019-10-05,Mumbai,36.05,99.98,40.2,9.96,0.53,21.89,92.0,Satisfactory
84189,2019-10-05,Hyderabad,33.8,76.61,27.65,21.11,0.41,29.38,83.0,Satisfactory
36911,2019-10-05,Delhi,35.23,99.27,30.69,10.61,1.27,28.01,103.0,Moderate
40436,2019-10-05,Delhi,38.1,145.42,52.57,14.37,1.33,19.79,137.0,Moderate
34111,2019-10-05,Delhi,36.17,103.75,27.94,6.05,0.58,5.56,102.0,Moderate
64549,2019-10-05,Bengaluru,42.31,84.62,67.51,4.0,1.29,24.73,90.0,Satisfactory
29608,2019-10-05,Delhi,35.08,78.99,43.71,2.82,0.78,23.46,89.0,Satisfactory
70567,2019-10-05,Thiruvananthapuram,16.49,33.07,3.0,1.42,0.85,33.96,56.0,Satisfactory
17417,2019-10-05,Delhi,44.44,202.95,22.98,9.67,1.1,38.46,145.0,Moderate
43382,2019-10-05,Delhi,37.98,132.64,46.99,4.3,1.49,60.88,112.0,Moderate
63081,2019-10-05,Bengaluru,27.06,51.29,37.47,5.15,0.59,37.92,84.0,Satisfactory
105620,2019-10-05,Kolkata,47.77,69.93,27.33,4.83,0.61,29.45,71.0,Satisfactory
86537,2019-10-05,Hyderabad,36.59,76.39,20.63,2.75,0.43,21.55,54.0,Satisfactory
50986,2019-10-05,Delhi,44.75,132.49,37.24,10.14,0.87,20.48,121.0,Moderate
24022,2019-10-05,Delhi,41.17,81.78,25.45,6.38,0.74,37.04,92.0,Satisfactory
16535,2019-10-05,Delhi,33.67,101.3,46.77,1.21,3.89,7.99,162.0,Moderate
60647,2019-10-05,Bengaluru,38.41,89.86,52.28,2.99,0.94,59.42,149.0,Moderate
33229,2019-10-05,Delhi,29.31,85.71,15.75,8.16,0.27,47.73,92.0,Satisfactory
98500,2019-10-05,Coimbatore,29.37,39.73,7.82,10.43,1.76,46.46,94.0,Satisfactory
74894,2019-10-05,Mumbai,37.66,103.81,49.45,3.77,0.49,26.03,113.0,Moderate
39706,2019-10-05,Delhi,34.55,34.55,48.23,16.49,1.4,94.89,123.0,Moderate
75289,2019-10-05,Mumbai,33.32,106.21,31.64,17.87,1.0,5.22,70.0,Satisfactory
79867,2019-10-05,Amritsar,30.18,54.28,10.3,4.8,0.21,27.04,60.0,Satisfactory
106619,2019-10-05,Kolkata,56.9,99.6,36.34,11.35,0.54,32.06,96.0,Satisfactory
24904,2019-10-05,Delhi,53.31,130.24,44.1,12.35,1.0,37.89,122.0,Moderate
8141,2019-10-05,Delhi,44.46,161.73,63.89,2.04,0.89,27.68,146.0,Moderate
49222,2019-10-05,Delhi,29.67,62.71,20.71,3.98,0.75,53.51,112.0,Moderate
80860,2019-10-05,Jaipur,22.84,53.55,37.29,10.03,0.78,46.84,71.0,Satisfactory
50104,2019-10-05,Delhi,40.58,106.33,12.78,13.01,0.72,14.56,104.0,Moderate
104906,2019-10-05,Kolkata,40.52,93.05,30.27,3.91,0.63,41.37,95.0,Satisfactory
37793,2019-10-05,Delhi,32.34,74.4,13.88,2.08,0.64,20.54,78.0,Satisfactory
72962,2019-10-05,Mumbai,19.64,38.28,0.93,22.71,0.45,9.3,39.0,Good
15653,2019-10-05,Delhi,47.29,128.38,32.78,3.78,0.32,39.81,112.0,Moderate
76670,2019-10-05,Bhopal,26.41,99.6,36.45,8.38,1.01,63.02,117.0,Moderate
48492,2019-10-05,Delhi,31.78,83.67,13.44,7.56,0.86,39.94,93.0,Satisfactory
44264,2019-10-05,Delhi,42.58,96.83,13.66,4.03,0.62,21.29,102.0,Moderate
82956,2019-10-05,Jaipur,46.49,83.43,13.7,9.97,0.67,40.94,81.0,Satisfactory
106015,2019-10-05,Kolkata,34.19,54.58,15.69,5.74,0.55,16.65,52.0,Satisfactory
73356,2019-10-05,Mumbai,36.32,106.2,25.72,4.59,0.82,9.95,138.0,Moderate
85304,2019-10-05,Hyderabad,29.77,67.78,28.57,1.58,0.6,17.41,58.0,Satisfactory
6225,2019-10-05,Delhi,35.93,88.98,33.47,11.8,0.77,21.12,76.0,Satisfactory
30338,2019-10-05,Delhi,46.76,176.64,18.06,7.07,0.96,7.53,124.0,Moderate
76071,2019-10-05,Mumbai,37.41,77.34,20.59,3.5,0.58,16.67,74.0,Satisfactory
34112,2019-10-06,Delhi,53.65,140.79,25.06,6.88,0.67,5.66,116.0,Moderate
76072,2019-10-06,Mumbai,44.13,84.55,26.96,3.65,0.55,40.18,109.0,Moderate
29609,2019-10-06,Delhi,60.86,117.02,46.15,2.65,0.78,26.74,99.0,Satisfactory
106016,2019-10-06,Kolkata,45.75,70.82,21.66,5.47,0.73,12.15,82.0,Satisfactory
2143,2019-10-06,Visakhapatnam,26.99,88.4,41.21,28.81,0.63,22.9,109.0,Moderate
36912,2019-10-06,Delhi,56.98,138.18,32.88,11.19,1.24,36.03,117.0,Moderate
64550,2019-10-06,Bengaluru,31.36,55.74,34.23,3.21,1.12,28.87,73.0,Satisfactory
106951,2019-10-06,Kolkata,25.63,44.94,24.73,3.36,0.34,23.91,62.0,Satisfactory
68992,2019-10-06,Bengaluru,21.41,53.46,35.73,1.52,1.42,29.78,104.0,Moderate
80861,2019-10-06,Jaipur,26.73,76.9,33.73,11.11,0.7,49.49,75.0,Satisfactory
73731,2019-10-06,Mumbai,42.09,88.56,19.23,17.1,0.65,35.69,83.0,Satisfactory
84190,2019-10-06,Hyderabad,47.84,91.26,36.0,15.5,0.71,30.71,80.0,Satisfactory
74123,2019-10-06,Mumbai,38.74,106.54,48.59,11.3,0.58,33.92,102.0,Moderate
27698,2019-10-06,Delhi,52.16,131.81,43.95,8.55,1.22,14.12,117.0,Moderate
72963,2019-10-06,Mumbai,18.45,36.6,1.99,24.09,0.48,9.91,34.0,Good
25787,2019-10-06,Delhi,52.38,138.38,56.56,6.73,0.88,44.97,125.0,Moderate
10782,2019-10-06,Delhi,72.25,147.79,51.75,9.31,1.65,64.5,127.0,Moderate
40437,2019-10-06,Delhi,57.88,163.62,62.26,15.32,1.35,23.15,134.0,Moderate
47611,2019-10-06,Delhi,61.99,242.55,81.52,4.72,1.7,55.46,194.0,Moderate
5627,2019-10-06,Chandigarh,38.69,82.66,4.05,14.44,0.49,15.07,83.0,Satisfactory
63082,2019-10-06,Bengaluru,30.29,55.91,37.46,5.68,0.52,4.3,57.0,Satisfactory
50105,2019-10-06,Delhi,63.65,153.58,18.65,12.7,0.75,33.98,120.0,Moderate
105621,2019-10-06,Kolkata,53.54,75.49,29.75,6.14,0.57,29.73,90.0,Satisfactory
85305,2019-10-06,Hyderabad,29.28,54.54,24.84,0.89,0.55,18.19,67.0,Satisfactory
50987,2019-10-06,Delhi,63.82,159.07,35.13,9.85,0.89,21.63,132.0,Moderate
33230,2019-10-06,Delhi,50.17,121.06,18.63,8.13,0.61,50.95,108.0,Moderate
60648,2019-10-06,Bengaluru,29.67,52.67,34.64,2.8,0.52,63.57,124.0,Moderate
15654,2019-10-06,Delhi,62.0,136.67,24.5,4.48,0.72,53.06,120.0,Moderate
73357,2019-10-06,Mumbai,42.44,98.99,30.67,5.44,0.89,21.06,130.0,Moderate
48493,2019-10-06,Delhi,57.71,143.58,17.14,7.94,0.63,48.42,108.0,Moderate
81975,2019-10-06,Jaipur,52.5,92.82,49.76,13.85,0.61,32.89,88.0,Satisfactory
16536,2019-10-06,Delhi,57.4,146.09,53.72,1.57,0.14,14.63,125.0,Moderate
94097,2019-10-06,Chennai,13.21,91.05,7.57,9.57,0.73,133.28,180.0,Moderate
74517,2019-10-06,Mumbai,29.73,58.06,5.52,5.44,0.45,24.78,62.0,Satisfactory
39707,2019-10-06,Delhi,52.17,52.17,50.46,18.45,1.29,136.71,191.0,Moderate
77722,2019-10-06,Brajrajnagar,30.55,61.86,7.86,8.36,2.06,5.55,104.0,Moderate
105223,2019-10-06,Kolkata,12.04,67.4,4.94,4.63,0.49,28.55,83.0,Satisfactory
104907,2019-10-06,Kolkata,51.21,110.93,27.99,3.8,0.55,30.0,98.0,Satisfactory
43383,2019-10-06,Delhi,56.51,152.56,54.73,3.4,0.91,62.97,137.0,Moderate
82957,2019-10-06,Jaipur,60.93,118.06,17.3,11.04,1.42,35.7,100.0,Satisfactory
9024,2019-10-06,Delhi,58.5,131.88,47.65,18.34,1.13,48.69,108.0,Moderate
8142,2019-10-06,Delhi,68.07,200.84,72.5,3.35,2.4,30.91,155.0,Moderate
37794,2019-10-06,Delhi,51.09,110.91,16.48,2.53,0.79,25.22,94.0,Satisfactory
72577,2019-10-06,Mumbai,25.39,57.84,22.52,4.76,2.75,10.51,112.0,Moderate
34994,2019-10-06,Delhi,59.74,132.42,36.18,11.5,1.04,51.1,136.0,Moderate
106620,2019-10-06,Kolkata,69.5,116.44,34.72,10.05,0.53,30.98,118.0,Moderate
74895,2019-10-06,Mumbai,43.52,99.89,45.69,5.18,0.46,48.56,160.0,Moderate
107765,2019-10-06,Kolkata,44.58,68.1,45.64,3.76,1.45,27.43,98.0,Satisfactory
98501,2019-10-06,Coimbatore,29.47,37.82,4.88,9.85,1.64,40.39,88.0,Satisfactory
52996,2019-10-06,Ahmedabad,68.62,117.69,132.77,158.04,55.22,68.56,954.0,Severe
2645,2019-10-06,Guwahati,57.59,97.74,12.49,18.9,0.88,18.28,83.0,Satisfactory
24905,2019-10-06,Delhi,72.09,162.78,45.83,13.75,1.08,61.13,153.0,Moderate
76671,2019-10-06,Bhopal,32.5,90.64,34.81,9.9,1.19,40.2,101.0,Moderate
44265,2019-10-06,Delhi,62.67,144.33,14.74,4.68,0.67,25.48,114.0,Moderate
49223,2019-10-06,Delhi,47.58,90.67,24.37,4.67,0.91,60.41,136.0,Moderate
30339,2019-10-06,Delhi,70.3,189.83,18.18,7.63,0.95,7.33,166.0,Moderate
17418,2019-10-06,Delhi,64.57,217.01,22.5,7.85,1.06,46.56,189.0,Moderate
86538,2019-10-06,Hyderabad,36.61,57.56,17.23,1.84,0.42,23.53,76.0,Satisfactory
79868,2019-10-06,Amritsar,66.88,95.67,12.09,4.7,0.32,39.06,86.0,Satisfactory
24023,2019-10-06,Delhi,57.6,106.28,26.49,8.22,0.54,47.94,117.0,Moderate
70568,2019-10-06,Thiruvananthapuram,13.44,28.23,3.25,1.79,0.75,36.08,62.0,Satisfactory
80862,2019-10-07,Jaipur,31.54,83.97,43.97,10.36,1.32,40.95,98.0,Satisfactory
2646,2019-10-07,Guwahati,30.21,53.93,11.94,14.83,0.68,17.91,82.0,Satisfactory
77723,2019-10-07,Brajrajnagar,25.13,46.13,9.91,8.5,2.09,6.29,103.0,Moderate
37795,2019-10-07,Delhi,51.78,112.72,15.21,2.42,0.73,19.63,110.0,Moderate
60649,2019-10-07,Bengaluru,39.83,75.38,42.08,2.93,0.84,57.94,158.0,Moderate
104908,2019-10-07,Kolkata,42.58,130.29,26.31,4.56,0.56,34.43,119.0,Moderate
39708,2019-10-07,Delhi,45.21,45.21,35.24,18.48,1.24,132.51,207.0,Poor
24024,2019-10-07,Delhi,56.05,107.35,20.17,4.82,0.53,39.01,107.0,Moderate
76672,2019-10-07,Bhopal,39.74,102.93,38.5,8.29,1.45,40.72,109.0,Moderate
34113,2019-10-07,Delhi,52.27,142.92,23.02,6.62,0.66,5.37,135.0,Moderate
68993,2019-10-07,Bengaluru,28.33,70.9,41.13,1.69,1.93,30.64,106.0,Moderate
27699,2019-10-07,Delhi,50.86,128.07,39.06,8.06,1.08,13.89,121.0,Moderate
81976,2019-10-07,Jaipur,61.04,101.51,46.78,11.39,1.13,16.58,102.0,Moderate
74518,2019-10-07,Mumbai,40.83,70.55,8.15,5.14,0.48,23.38,64.0,Satisfactory
40438,2019-10-07,Delhi,52.27,155.46,56.71,17.64,1.35,18.84,142.0,Moderate
73732,2019-10-07,Mumbai,51.56,93.52,16.61,13.97,0.58,30.34,90.0,Satisfactory
84191,2019-10-07,Hyderabad,48.5,90.98,24.77,15.4,0.52,37.43,98.0,Satisfactory
74124,2019-10-07,Mumbai,49.75,124.94,42.61,9.55,0.48,37.8,110.0,Moderate
25788,2019-10-07,Delhi,50.47,135.21,50.86,5.15,0.72,36.24,127.0,Moderate
30340,2019-10-07,Delhi,60.06,201.57,14.99,9.2,0.91,6.81,156.0,Moderate
94098,2019-10-07,Chennai,19.94,66.67,7.71,9.82,0.69,137.2,183.0,Moderate
86539,2019-10-07,Hyderabad,40.91,59.7,16.63,1.44,0.45,24.49,64.0,Satisfactory
52997,2019-10-07,Ahmedabad,99.81,155.39,162.56,146.33,36.34,68.81,1217.0,Severe
24906,2019-10-07,Delhi,67.55,161.56,41.39,12.92,1.03,44.32,149.0,Moderate
17419,2019-10-07,Delhi,61.12,222.67,17.23,7.68,0.98,48.53,178.0,Moderate
79869,2019-10-07,Amritsar,34.53,75.78,11.41,3.05,0.23,36.75,94.0,Satisfactory
98502,2019-10-07,Coimbatore,20.54,25.22,2.78,10.12,1.57,41.74,85.0,Satisfactory
74896,2019-10-07,Mumbai,53.15,117.27,53.37,6.85,0.49,43.34,114.0,Moderate
49224,2019-10-07,Delhi,48.81,95.96,22.1,3.9,0.8,59.57,117.0,Moderate
107766,2019-10-07,Kolkata,35.38,54.01,43.66,2.8,1.36,26.48,85.0,Satisfactory
43384,2019-10-07,Delhi,52.25,139.82,49.4,3.19,0.86,61.76,134.0,Moderate
34995,2019-10-07,Delhi,61.61,137.29,31.55,11.84,0.98,42.51,125.0,Moderate
75291,2019-10-07,Mumbai,49.71,87.74,22.25,20.24,1.28,5.58,92.0,Satisfactory
44266,2019-10-07,Delhi,57.69,137.09,11.32,4.22,0.62,27.71,128.0,Moderate
82958,2019-10-07,Jaipur,60.38,121.88,19.71,7.67,1.98,30.66,117.0,Moderate
9025,2019-10-07,Delhi,52.6,130.6,38.68,15.83,0.92,46.57,124.0,Moderate
16537,2019-10-07,Delhi,56.07,143.32,43.7,1.71,0.44,8.9,131.0,Moderate
33231,2019-10-07,Delhi,47.96,117.27,13.07,8.08,0.65,48.56,113.0,Moderate
63083,2019-10-07,Bengaluru,31.16,56.33,49.2,10.85,0.6,30.96,69.0,Satisfactory
72578,2019-10-07,Mumbai,31.26,61.95,19.77,4.37,2.38,10.8,108.0,Moderate
106952,2019-10-07,Kolkata,23.04,40.63,24.4,3.9,0.4,28.13,52.0,Satisfactory
105224,2019-10-07,Kolkata,11.72,55.44,5.12,5.1,0.47,28.99,63.0,Satisfactory
50106,2019-10-07,Delhi,57.08,148.17,14.54,13.74,0.69,24.72,138.0,Moderate
47612,2019-10-07,Delhi,56.97,195.73,79.81,4.2,0.9,50.02,180.0,Moderate
15655,2019-10-07,Delhi,58.08,168.77,25.78,4.24,0.46,53.24,103.0,Moderate
72964,2019-10-07,Mumbai,31.92,48.37,1.66,26.67,0.53,9.83,47.0,Good
70569,2019-10-07,Thiruvananthapuram,7.42,22.56,3.18,1.21,0.74,28.73,48.0,Good
105622,2019-10-07,Kolkata,45.2,63.54,27.95,3.87,0.58,27.81,77.0,Satisfactory
50988,2019-10-07,Delhi,58.68,167.88,37.23,6.81,0.87,17.16,143.0,Moderate
10783,2019-10-07,Delhi,67.62,144.5,48.33,8.1,1.62,58.23,136.0,Moderate
73358,2019-10-07,Mumbai,52.99,119.55,32.6,3.94,0.9,19.53,123.0,Moderate
85306,2019-10-07,Hyderabad,37.91,74.94,30.59,1.35,0.5,19.21,63.0,Satisfactory
8143,2019-10-07,Delhi,60.98,186.99,64.4,6.5,2.13,32.94,163.0,Moderate
48494,2019-10-07,Delhi,55.38,133.38,14.18,7.44,0.56,47.38,129.0,Moderate
64551,2019-10-07,Bengaluru,41.99,79.58,46.81,3.48,1.22,31.54,71.0,Satisfactory
5628,2019-10-07,Chandigarh,53.09,112.6,5.0,11.35,0.51,17.72,94.0,Satisfactory
36913,2019-10-07,Delhi,55.56,140.27,33.55,10.8,1.16,25.57,127.0,Moderate
2144,2019-10-07,Visakhapatnam,30.49,81.94,55.32,31.92,0.85,22.39,74.0,Satisfactory
76073,2019-10-07,Mumbai,49.86,91.82,26.47,2.67,0.49,28.05,90.0,Satisfactory
106017,2019-10-07,Kolkata,38.31,61.66,21.93,5.27,0.76,10.1,70.0,Satisfactory
29610,2019-10-07,Delhi,62.26,120.5,40.75,3.2,0.84,27.19,116.0,Moderate
91710,2019-10-07,Hyderabad,62.62,102.33,11.29,2.93,0.76,30.71,90.0,Satisfactory
80863,2019-10-08,Jaipur,28.52,87.73,52.25,11.23,0.96,34.46,106.0,Moderate
27700,2019-10-08,Delhi,37.27,109.15,44.92,9.28,1.08,12.69,109.0,Moderate
74125,2019-10-08,Mumbai,67.55,138.34,41.95,9.88,0.56,40.24,122.0,Moderate
72965,2019-10-08,Mumbai,36.14,63.47,1.47,29.95,0.54,10.23,63.0,Satisfactory
68994,2019-10-08,Bengaluru,17.57,43.64,33.18,1.35,0.49,29.76,98.0,Satisfactory
5629,2019-10-08,Chandigarh,43.67,104.59,4.64,12.42,0.61,13.96,106.0,Moderate
91711,2019-10-08,Hyderabad,70.09,106.62,19.06,2.37,0.73,29.72,131.0,Moderate
30341,2019-10-08,Delhi,46.55,141.53,17.08,5.86,0.83,11.97,155.0,Moderate
40439,2019-10-08,Delhi,39.6,117.78,53.81,17.78,1.07,21.28,124.0,Moderate
94099,2019-10-08,Chennai,21.95,94.02,8.92,9.7,0.77,135.45,197.0,Moderate
64552,2019-10-08,Bengaluru,22.53,70.91,29.85,3.13,1.1,43.91,80.0,Satisfactory
47613,2019-10-08,Delhi,49.91,267.68,74.71,4.4,0.72,54.77,175.0,Moderate
74519,2019-10-08,Mumbai,50.33,86.63,10.74,5.22,8.69,33.57,158.0,Moderate
25789,2019-10-08,Delhi,35.4,108.0,46.95,6.42,0.67,45.13,116.0,Moderate
2145,2019-10-08,Visakhapatnam,57.44,157.35,65.83,21.33,0.87,23.63,114.0,Moderate
36914,2019-10-08,Delhi,39.1,108.2,29.77,10.64,1.06,30.72,115.0,Moderate
50989,2019-10-08,Delhi,49.41,141.06,36.51,12.03,0.82,23.72,134.0,Moderate
10784,2019-10-08,Delhi,65.0,132.54,37.01,9.8,1.55,65.91,134.0,Moderate
106018,2019-10-08,Kolkata,28.4,51.67,19.07,4.8,0.82,9.5,86.0,Satisfactory
105623,2019-10-08,Kolkata,32.77,46.08,25.24,3.41,0.6,25.13,72.0,Satisfactory
34114,2019-10-08,Delhi,41.81,113.98,21.86,7.77,0.66,5.5,115.0,Moderate
70570,2019-10-08,Thiruvananthapuram,7.99,19.94,3.36,0.89,0.7,37.35,57.0,Satisfactory
15656,2019-10-08,Delhi,45.82,132.35,30.54,4.73,0.7,55.53,124.0,Moderate
9026,2019-10-08,Delhi,44.73,110.06,44.07,16.78,1.0,47.68,110.0,Moderate
76074,2019-10-08,Mumbai,57.05,103.05,25.43,2.3,0.38,48.98,100.0,Satisfactory
8144,2019-10-08,Delhi,46.09,155.86,57.63,7.36,1.96,35.72,145.0,Moderate
73733,2019-10-08,Mumbai,57.1,103.89,15.67,10.13,0.57,28.77,104.0,Moderate
85307,2019-10-08,Hyderabad,42.06,74.61,27.06,1.3,0.49,19.78,78.0,Satisfactory
84192,2019-10-08,Hyderabad,51.68,71.48,16.99,7.15,0.48,37.68,80.0,Satisfactory
73359,2019-10-08,Mumbai,70.67,141.18,40.68,4.11,0.94,22.01,134.0,Moderate
63084,2019-10-08,Bengaluru,16.44,27.3,24.88,4.33,0.67,60.76,77.0,Satisfactory
106953,2019-10-08,Kolkata,14.85,24.82,18.14,3.92,0.38,24.03,57.0,Satisfactory
104909,2019-10-08,Kolkata,27.97,109.18,24.38,3.9,0.53,26.15,110.0,Moderate
49225,2019-10-08,Delhi,33.23,70.9,17.58,3.86,0.69,59.57,129.0,Moderate
72579,2019-10-08,Mumbai,36.38,69.73,17.88,4.49,2.42,11.22,107.0,Moderate
60650,2019-10-08,Bengaluru,23.05,39.75,33.38,3.1,0.53,99.79,184.0,Moderate
98503,2019-10-08,Coimbatore,14.83,17.47,3.07,9.42,1.54,46.68,81.0,Satisfactory
17420,2019-10-08,Delhi,56.34,210.84,16.44,11.62,1.21,45.55,163.0,Moderate
79870,2019-10-08,Amritsar,48.2,73.6,11.35,1.51,0.28,35.6,132.0,Moderate
48495,2019-10-08,Delhi,37.67,104.92,16.81,8.31,0.49,51.95,109.0,Moderate
43385,2019-10-08,Delhi,37.64,131.66,42.38,3.7,1.03,58.81,118.0,Moderate
74897,2019-10-08,Mumbai,69.33,134.34,53.82,7.91,0.37,55.58,128.0,Moderate
683,2019-10-08,Amaravati,23.31,39.09,12.18,18.77,0.55,31.69,50.0,Good
107767,2019-10-08,Kolkata,27.4,51.54,34.97,2.55,1.41,22.92,94.0,Satisfactory
24025,2019-10-08,Delhi,44.05,83.73,25.2,7.43,0.55,48.34,109.0,Moderate
106622,2019-10-08,Kolkata,32.26,58.56,23.28,5.01,0.43,25.82,74.0,Satisfactory
34996,2019-10-08,Delhi,58.84,123.6,30.83,11.72,0.98,52.26,122.0,Moderate
52998,2019-10-08,Ahmedabad,73.52,153.75,171.17,154.99,45.99,70.66,659.0,Severe
44267,2019-10-08,Delhi,50.04,114.93,10.8,3.96,0.62,29.54,113.0,Moderate
29611,2019-10-08,Delhi,48.24,90.33,38.29,2.94,0.99,27.95,102.0,Moderate
2647,2019-10-08,Guwahati,12.8,26.86,7.53,14.17,0.45,17.86,38.0,Good
86540,2019-10-08,Hyderabad,53.14,78.8,15.05,2.09,0.48,24.8,81.0,Satisfactory
50107,2019-10-08,Delhi,43.94,120.52,14.09,15.13,0.56,27.08,117.0,Moderate
81977,2019-10-08,Jaipur,57.13,100.72,42.82,11.16,0.57,31.22,107.0,Moderate
77724,2019-10-08,Brajrajnagar,25.41,45.92,8.59,8.64,1.68,4.26,103.0,Moderate
82959,2019-10-08,Jaipur,44.79,89.38,16.49,5.74,1.68,33.38,102.0,Moderate
24907,2019-10-08,Delhi,56.42,137.5,43.16,14.76,0.92,45.71,131.0,Moderate
39709,2019-10-08,Delhi,39.46,39.46,33.99,13.24,1.42,116.07,210.0,Poor
33232,2019-10-08,Delhi,41.27,109.46,14.22,8.3,0.46,49.38,113.0,Moderate
37796,2019-10-08,Delhi,40.71,92.51,14.49,2.78,0.61,24.67,97.0,Satisfactory
76673,2019-10-08,Bhopal,52.66,130.64,34.1,11.29,1.26,77.47,143.0,Moderate
105225,2019-10-08,Kolkata,12.14,47.25,4.89,4.73,0.45,24.08,55.0,Satisfactory
60651,2019-10-09,Bengaluru,27.64,56.45,41.62,3.0,0.75,77.22,170.0,Moderate
50990,2019-10-09,Delhi,82.93,228.35,42.55,12.96,1.28,54.76,192.0,Moderate
48496,2019-10-09,Delhi,69.96,172.75,23.62,11.69,0.9,79.76,159.0,Moderate
105624,2019-10-09,Kolkata,18.53,25.69,23.12,3.36,0.34,22.8,42.0,Good
33233,2019-10-09,Delhi,66.19,154.38,23.98,9.8,0.87,57.38,131.0,Moderate
2648,2019-10-09,Guwahati,18.44,32.5,7.62,14.03,0.45,17.9,27.0,Good
47614,2019-10-09,Delhi,95.01,358.46,98.51,4.57,2.78,42.84,264.0,Poor
29612,2019-10-09,Delhi,73.0,124.09,52.24,2.72,1.0,27.99,120.0,Moderate
77725,2019-10-09,Brajrajnagar,55.0,76.23,11.6,8.69,1.6,5.22,103.0,Moderate
91712,2019-10-09,Hyderabad,56.05,76.86,22.63,2.28,0.55,27.76,99.0,Satisfactory
50108,2019-10-09,Delhi,74.1,175.06,15.0,19.38,0.97,48.5,167.0,Moderate
105226,2019-10-09,Kolkata,11.25,27.69,4.85,5.93,0.23,19.26,40.0,Good
80864,2019-10-09,Jaipur,31.42,80.79,72.84,12.57,1.07,45.9,111.0,Moderate
106954,2019-10-09,Kolkata,2.82,8.06,10.11,3.37,0.13,23.1,34.0,Good
72580,2019-10-09,Mumbai,19.47,42.82,22.79,4.2,2.29,10.99,106.0,Moderate
72966,2019-10-09,Mumbai,15.48,31.08,2.69,30.39,0.5,10.31,47.0,Good
43386,2019-10-09,Delhi,67.98,185.28,56.64,4.53,1.72,61.0,147.0,Moderate
